,user_id,main_page_viewed_at,order_completed_at,time_to_order
0,959238,2020-11-20 23:55:02.759000+00:00,2020-11-30 02:22:32.759000+00:00,9.102430555555555
1,337366,2020-12-05 23:41:42.244000+00:00,2020-12-12 22:25:52.244000+00:00,6.947337962962964
2,259956,2020-11-20 23:33:53.269000+00:00,2020-11-25 13:08:03.269000+00:00,4.565393518518518
3,534280,2020-11-28 23:44:56.556000+00:00,2020-12-05 10:14:06.556000+00:00,6.436921296296297
4,795121,2020-11-18 23:59:56.236000+00:00,2020-11-27 02:38:16.236000+00:00,8.109953703703702
5,528208,2020-11-18 23:47:44.317000+00:00,2020-11-26 18:16:04.317000+00:00,7.769675925925925
6,755857,2020-12-05 23:54:14.455000+00:00,2020-12-13 23:08:24.455000+00:00,7.968171296296298
7,249718,2020-12-01 23:43:17.098000+00:00,2020-12-06 22:08:17.098000+00:00,4.934027777777779
8,986381,2020-11-28 23:42:46.316000+00:00,2020-12-06 12:03:36.316000+00:00,7.514467592592592
9,547613,2020-11-23 23:57:27.268000+00:00,2020-11-28 00:35:47.268000+00:00,4.02662037037037
10,675481,2020-12-13 23:52:38.544000+00:00,2020-12-22 02:30:58.544000+00:00,8.109953703703702
11,298332,2020-11-26 23:49:33.996000+00:00,2020-12-03 19:50:23.996000+00:00,6.833912037037036
12,476895,2020-11-20 23:55:02.761000+00:00,2020-11-26 22:50:02.761000+00:00,5.954861111111112
13,742366,,,8.677083333333332
14,793314,,,9.754629629629632
15,483314,,,4.366898148148149
16,252105,2020-11-28 23:05:51.123000+00:00,2020-12-05 22:30:51.123000+00:00,6.975694444444445
17,954056,2020-11-25 23:33:04.848000+00:00,2020-12-05 00:38:54.848000+00:00,9.045717592592592
18,935662,2020-11-17 22:46:13.373000+00:00,2020-11-25 07:42:53.373000+00:00,7.372685185185187
19,707832,2020-11-26 23:50:02.318000+00:00,2020-12-02 20:01:42.318000+00:00,5.841435185185186
20,450094,2020-11-29 22:59:18.680000+00:00,2020-12-03 12:03:28.680000+00:00,3.544560185185185
21,370716,2020-11-29 23:38:19.150000+00:00,2020-12-05 04:51:39.150000+00:00,5.217592592592593
22,843249,2020-11-20 23:54:13.116000+00:00,2020-11-26 18:44:13.116000+00:00,5.784722222222221
23,813273,2020-11-24 21:29:43.855000+00:00,2020-11-29 20:35:33.855000+00:00,4.9623842592592595
24,428496,2020-11-18 21:56:50.480000+00:00,2020-11-21 19:21:50.480000+00:00,2.8923611111111107
25,578659,2020-12-05 23:04:55.507000+00:00,2020-12-14 22:08:15.507000+00:00,8.960648148148147
26,129417,2020-11-30 22:12:19.597000+00:00,2020-12-09 16:29:49.597000+00:00,8.762152777777779
27,142156,2020-11-18 23:31:00.727000+00:00,2020-11-26 04:22:40.727000+00:00,7.202546296296298
28,859975,2020-11-20 22:49:25.043000+00:00,2020-11-30 14:12:45.043000+00:00,9.641203703703702
29,902059,2020-12-11 23:12:08.766000+00:00,2020-12-20 10:00:28.766000+00:00,8.450231481481481
30,205499,2020-11-17 23:09:50.560000+00:00,2020-11-24 14:24:50.560000+00:00,6.635416666666666
31,170297,2020-12-02 18:38:43.093000+00:00,2020-12-10 02:13:43.093000+00:00,7.315972222222221
32,512092,2020-12-10 18:38:33.204000+00:00,2020-12-19 21:46:53.204000+00:00,9.130787037037036
33,454535,2020-12-11 22:06:02.349000+00:00,2020-12-15 03:41:02.349000+00:00,3.2326388888888893
34,763203,2020-11-20 23:34:27.078000+00:00,2020-11-23 20:59:27.078000+00:00,2.8923611111111107
35,292661,2020-11-20 23:28:32.736000+00:00,2020-11-26 05:22:42.736000+00:00,5.245949074074074
